,Address,Latitude,Longitude
189,['Bangalore'],12.9791198,77.5912997
190,['Mumbai'],18.9387711,72.8353355
191,"['Vancouver, Canada']",49.2608724,-123.1139529
192,['Hong Kong'],22.2793278,114.1628131
193,"['Anantapur,Andhrapradesh']",,
194,"['Dublin, Ireland']",53.3497645,-6.2602732
195,"['Markhan, ON']",,
196,"['Milwaukee, WI']",43.0349931,-87.922497
197,"['León, Guanajuato, México']",21.1218598,-101.6825081
198,"['New York, NY']",40.7127281,-74.0060152
199,['Tromsø'],69.649208,18.9543434
200,"['Panjab University, Chandigarh']",,
201,"['Mumbai, India']",18.9387711,72.8353355
202,['Pittsburg CA'],38.0181745,-121.8901232
203,['Hyderabad'],17.38878595,78.46106473453146
204,['Mumbai'],18.9387711,72.8353355
205,['Fran Sancisco'],,
206,['HYDERABAD'],17.38878595,78.46106473453146
207,['Bengaluru'],12.9791198,77.5912997
208,['Mumbai'],18.9387711,72.8353355
209,"['San Diego, CA']",32.7174209,-117.1627714
210,"['London, UK']",51.5073219,-0.1276474
211,['Canada'],61.0666922,-107.9917071
212,"['Bethpage, NY']",40.7432812,-73.4838143
213,['India'],22.3511148,78.6677428
214,['Hyderabad'],17.38878595,78.46106473453146
215,['Frankfurt am Main'],50.1106444,8.6820917
216,['Karachi Pakistan'],25.1446897,67.1847767315734
217,"['Ranchi, Jharkhand']",23.3700354,85.3250132
218,['North America'],51.0000002,-109.0000002
219,"['Dhaka, Bangladesh']",23.810651,90.4126466
220,['Switzerland'],46.7985624,8.2319736
221,"['Saint Louis, MO']",38.6268039,-90.1994097
222,"['Portland, Oregon']",45.5202471,-122.6741949
223,['delhi india'],28.6517178,77.2219388
224,['Goiânia - GO'],-16.680882,-49.2532691
225,"['Beijing, China']",39.9020668,116.718583
226,['Chengdu'],30.6624205,104.0633219
227,['The Netherlands'],52.5001698,5.7480821
228,['Israel'],31.5313113,34.8667654
229,['Shanghai'],31.2322758,121.4692071
230,['USA'],39.7837304,-100.4458825
231,"['Houston, Texas']",29.7589382,-95.3676974
232,"['Seoul, South Korea']",37.5666791,126.9782914
233,"['Berlin, Germany / Hennigsdorf, Germany']",,
234,"['Greensboro, NC']",36.0726355,-79.7919754
235,"['Los Angeles, CA']",34.0536909,-118.2427666
236,"['Seattle, WA']",47.6038321,-122.3300624
237,"['Hyderabad, India']",17.38878595,78.46106473453146
238,['Mumbai'],18.9387711,72.8353355
239,"['Seattle, WA']",47.6038321,-122.3300624
240,['Fran Sancisco'],,
241,['beijing'],39.9020668,116.718583
242,"['Montréal, Canada']",45.4972159,-73.6103642
243,"['Banglore,India']",18.3903609,78.8087788
244,['Ukraine'],49.4871968,31.2718321
245,"['Kathmandu, Nepal']",27.708317,85.3205817
246,['Mumbai'],18.9387711,72.8353355
247,"['Satara, Maharashtra']",17.63612885,74.29827807601782
248,"['Sydney, Australia']",-33.8548157,151.2164539
249,['Hong Kong'],22.2793278,114.1628131
250,['Perth'],-31.9527121,115.8604796
251,"['Cuiabá, MT']",-15.5986686,-56.0991301
252,['Nigeria'],9.6000359,7.9999721
253,['United States'],39.7837304,-100.4458825
254,"['La Crosse, WI']",43.8014053,-91.2395429
255,"['Nairobi, Kenya']",-1.2832533,36.8172449
256,['Nigeria'],9.6000359,7.9999721
257,"['Edsbyn, Sweden ']",61.3774428,15.8181755
258,['India'],22.3511148,78.6677428
259,['San Francisco'],37.7790262,-122.4199061
260,"['Washington, DC']",38.8949924,-77.0365581
261,['BeiJing'],39.9020668,116.718583
262,"['San Luis Potosi, Mexico']",22.5000001,-100.5000001
263,"['Mountain View, CA']",51.6878246,-114.2502063
