Location,Followers,Following,Stars,Contributions
Shanghai <=> Wuhan,75,260,702,665
"Manhattan, NY",15,1,3,25
Beijing,25,6,65,23
"San Francisco, CA",36300,4,20,29
Syria,34,14,10,36
"Mumbai, India",30,66,190,0
Palo Alto,8500,43,59,1210
"Pittsburgh, PA",46,86,569,613
"Madison, WI",13300,35,73,681
Beijing,1500,1,28,14
Mumbai,79,10,132,12
"Washington, DC",558,9,29,569
"Seattle, WA",650,0,0,1993
"Xian,China",48,22,440,108
China Shanghai,16,0,16,55
"France, Montpellier",232,8,1,489
"Brooklyn, NY",2600,275,2200,2683
"Boston, MA",57,1,0,6
"Helmond, The Netherlands",106,5,25,318
"Toronto, Canada",85,18,74,1525
Zurich,645,14,79,54
"New York, NY",2800,30,274,49
Palma de Mallorca,1200,1,1,510
"New Delhi, India",119,33,168,2023
"Taipei, Taiwan",126,14,85,456
"Grace Field, TPN",428,2,45,160
"New York, NY",147,0,121,5
"Hangzhou,China",17,6,39,72
"SF Bay Area, USA",325,1,13,2
Bangalore,112,14,88,111
"Charlottesville, Virginia",444,22,16,214
"Hangzhou, China",56,66,222,61
"Kuala Lumpur, Malaysia",1000,31,104,634
Beijing.China,112,2,5,63
Palma de Mallorca,1200,1,1,510
"Seattle, WA",672,0,33,292
"Cupertino, CA",630,36,42,0
"Beijing, China",116,40,378,139
"Irvine, CA, USA",52,1,58,773
"Pittsburgh, Pennsylvania",124,0,4,425
"Mumbai, India",455,22,128,8
"Madison, WI",13300,35,73,681
beijing,38,14,93,42
"Worsley, Greater Manchester, UK",83,53,212,0
"Birmingham, AL",99,11,149,292
Hong Kong,39,6,39,586
"Berlin, Germany",131,24,214,119
Chennnai,221,18,15,33
"Dhaka, Bangladesh",180,17,31,711
UC San Diego,1400,25,16,115
"Tokyo, Japan",110,2,1500,375
"Dalian, China",31,6,52,125
Brazil,7,1,3,0
"Santa Barbara, California",164,215,58,140
chennai ,31,0,0,10
"Shanghai,China",271,12,56,32
Munich,15,3,1,2
"Denver, CO",213,6,24,64
"Munich, Germany",419,0,66,90
"Islamabad, Pakistan",94,47,1,33
"Nanjing, China",624,48,642,65
"Mountain View, CA",6300,35,257,1003
"Cambridge, UK",978,267,723,1142
"Beijing, China",1200,14,65,2
Shanghai,112,55,34,14
New York City,3100,2,29,721
"ChengDu,QingDao",204,425,1400,12
Amsterdam,5600,7,83,1481
Mumbai,111,27,20,204
Germany,93,0,60,3
Nanjing,40,0,10,22
"Zaragoza, Spain",7,24,89,29
"Guangzhou, China",101,47,192,6
"Hangzhou, China",131,68,252,141
"Madison, WI",13300,35,73,681
"Grace Field, TPN",428,2,45,160
