,Address,Latitude,Longitude,Country,Country_Code,Followers,Following,Stars,Contributions,Url_profile,Similarity,Weight
31,"Berlin, Germany",52.5170365,13.3888599,Deutschland,de,0.015738498789346248,0.04713804713804714,0.197,0.065257856126136,https://github.com/jcpsantiago,0.03669682,0.09306464692212837
32,Texas,31.8160381,-99.5120986,United States,us,0.004842615012106538,0.0,0.0035,0.004160735793277127,https://github.com/disojn,0.03596433,0.003682817319732158
33,between Brittany and South Korea,,,United States,us,0.1198547215496368,0.13131313131313133,0.209,0.023759991240556225,https://github.com/foxmask,0.03567068,0.10930625393746299
34,London,51.5073219,-0.1276474,United Kingdom,gb,0.16464891041162227,0.18181818181818182,0.019,1.0,https://github.com/pikesley,0.03178978,0.4568116002641427
35,"Salt Lake City, UT",40.7596198,-111.8867975,United States,us,0.0,0.003367003367003367,0.0,0.0,https://github.com/chelseamlap,0.02770377,0.0003367003367003367
36,"Chennai,Tamil Nadu,India",13.0836939,80.270186,India,in,0.03753026634382567,0.09764309764309764,0.0115,0.0025183400854045766,https://github.com/SridharCR,0.02611752,0.021727699067236733
37,Italy,42.6384261,12.674297,Italia,it,0.002421307506053269,0.016835016835016835,0.001,0.0689806197306471,https://github.com/gui-dos,0.02390677,0.03006001107697118
38,Kochi,9.931308,76.2674136,India,in,0.01937046004842615,0.11447811447811448,0.049,0.008649950728128764,https://github.com/PatrickPrakash,0.02367215,0.033481883748748185
39,The Netherlands,52.5001698,5.7480821,Nederland,nl,0.039951573849878935,0.006734006734006734,0.001,0.02923464360013139,https://github.com/svanas,0.02365271,0.020657572883429016
40,Boston,42.3602534,-71.0582912,United States,us,0.020581113801452784,0.0,0.003,0.0032847914157451003,https://github.com/jxx123,0.01788977,0.006330139326588597
41,"London, Ontario",42.9836747,-81.2496068,Canada,ca,0.014527845036319613,0.037037037037037035,0.1085,0.005912624548341181,https://github.com/thedamon,0.01760398,0.041524322530304095
42,"Türkheim, Germany",48.0601151,10.6394156,Deutschland,de,0.01937046004842615,0.016835016835016835,0.0085,0.08595204204533012,https://github.com/Faltenreich,0.01714569,0.042488410511318964
43,San Francisco,37.7790262,-122.4199061,United States,us,0.29539951573849876,0.21212121212121213,0.323,0.009963867294426804,https://github.com/bewest,0.01517437,0.18117757127759168
44,"Wales, UK",52.2928116,-3.73893,United Kingdom,gb,1.0,0.006734006734006734,0.0285,0.2765794372057374,https://github.com/tomwhite,0.01480021,0.31985517555569565
45,istanbul,41.0096334,28.9651646,Türkiye,tr,0.009685230024213076,0.030303030303030304,0.0125,0.005365159312383664,https://github.com/malionde,0.01337605,0.010863412760099111
46,"Berlin, Germany / Hennigsdorf, Germany",,,Türkiye,tr,0.0012106537530266344,0.003367003367003367,0.0015,0.0,https://github.com/boRp,0.01108345,0.0010288310873056636
47,"Syracuse, New York, US",43.0481221,-76.1474244,United States,us,0.006053268765133172,0.003367003367003367,0.0035,0.008978429869703274,https://github.com/Laxman-Kumar,0.0105017,0.006188726037608281
48,Planet Earth,41.1018669,-81.1515962,United States,us,0.004842615012106538,0.0,0.0,0.00394174969889412,https://github.com/rohit43,0.00966487,0.0025452228819789558
49,San Francisco,37.7790262,-122.4199061,United States,us,0.29539951573849876,0.21212121212121213,0.323,0.009963867294426804,https://github.com/bewest,0.0045205,0.18117757127759168
